memcpy_dev_v32_movsb_v19,rand SPEC2017   ,1       ,16     ,256    ,32768    ,20000  ,32768       ,2.101E+05 ,2.081E+05 ,2.097E+05 ,1.95E+05  ,5.140E+05 ,1.434E+04
impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdevmemcpy_dev_v32_movsb_v20,rand SPEC2017   ,16      ,0      ,-1     ,65536    ,10000  ,65536       ,2.429E+06 ,2.409E+06 ,2.429E+06 ,2.38E+06  ,3.010E+06 ,3.711E+04
impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdevmemcpy_dev_v32_movsb_v20,rand SPEC2017   ,32      ,0      ,-1     ,65536    ,10000  ,65536       ,4.466E+06 ,4.467E+06 ,4.466E+06 ,4.33E+06  ,5.981E+06 ,2.924E+04
impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdevmemcpy_dev_v32_movsb_v20,rand SPEC2017   ,64      ,0      ,-1     ,65536    ,10000  ,65536       ,9.281E+06 ,9.286E+06 ,9.281E+06 ,9.02E+06  ,1.271E+07 ,8.006E+04
impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdevmemcpy_dev_v32_movsb_v20,rand SPEC2017   ,128     ,0      ,-1     ,65536    ,10000  ,65536       ,1.912E+07 ,1.911E+07 ,1.912E+07 ,1.88E+07  ,2.616E+07 ,2.500E+05
impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdevmemcpy_dev_v32_movsb_v20,rand SPEC2017   ,256     ,0      ,-1     ,65536    ,10000  ,65536       ,4.106E+07 ,4.106E+07 ,4.106E+07 ,4.05E+07  ,4.792E+07 ,1.988E+05
impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdevmemcpy_dev_v32_movsb_v21,rand SPEC2017   ,1       ,16     ,256    ,32768    ,20000  ,32768       ,2.665E+05 ,2.659E+05 ,2.665E+05 ,2.55E+05  ,3.174E+05 ,6.018E+03
impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdevmemcpy_dev_v32_movsb_v21,rand SPEC2017   ,1       ,32     ,256    ,16384    ,40000  ,16384       ,9.391E+04 ,9.295E+04 ,9.386E+04 ,8.98E+04  ,1.569E+05 ,3.317E+03
impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdevmemcpy_dev_v32_movsb_v21,rand SPEC2017   ,1       ,33     ,256    ,8192     ,80000  ,8192        ,4.714E+04 ,4.703E+04 ,4.713E+04 ,4.51E+04  ,8.367E+04 ,1.187E+03
impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdevmemcpy_dev_v32_movsb_v21,rand SPEC2017   ,1       ,16     ,257    ,32768    ,20000  ,32768       ,2.645E+05 ,2.634E+05 ,2.644E+05 ,2.52E+05  ,3.179E+05 ,6.373E+03
impl name               ,test name       ,size    ,al dst ,al src ,dst > src,trials ,inner trials,mean      ,median    ,geomean   ,min       ,max       ,stdevmemcpy_dev_v32_movsb_v21,rand SPEC2017   ,1       ,32     ,257    ,16384    ,40000  ,16384       ,9.484E+04 ,9.502E+04 ,9.479E+04 ,9.01E+04  ,1.965E+05 ,3.281E+03
