cpu,align_entry,padding,ev_name,ref_cycles,ev_count
skl,16,NOP65,BACLEARS_ANY,37529.0,8111533
skl,16,NOP65,BRANCH_INSTRUCTIONS_RETIRED,36813.0,4108201286
skl,16,NOP65,DSB2MITE_SWITCHES_PENALTY_CYCLES,37015.0,402196878
skl,16,NOP65,IDQ_DSB_UOPS,36810.0,31831026115
skl,16,NOP65,IDQ_MITE_UOPS,36708.0,404718914
skl,16,NOP65,IDQ_MS_UOPS,37394.0,9657006
skl,16,NOP65,IDQ_UOPS_NOT_DELIVERED_CORE,37078.0,14520296541
skl,16,NOP65,INT_MISC_CLEAR_RESTEER_CYCLES,36939.0,1427143675
skl,16,NOP65,INT_MISC_RECOVERY_CYCLES,36942.0,2047180336
skl,16,NOP65,LSD_UOPS,36730.0,0
skl,16,NOP65,MISPREDICTED_BRANCH_RETIRED,36811.0,364520016
skl,16,NOP65,UOPS_DISPATCHED_PORT_0,36910.0,1741760584
skl,16,NOP65,UOPS_DISPATCHED_PORT_1,36850.0,1734006270
skl,16,NOP65,UOPS_DISPATCHED_PORT_2,36618.0,5012786126
skl,16,NOP65,UOPS_DISPATCHED_PORT_3,37179.0,4601903422
skl,16,NOP65,UOPS_DISPATCHED_PORT_4,36900.0,3239641663
skl,16,NOP65,UOPS_DISPATCHED_PORT_5,36650.0,1904290523
skl,16,NOP65,UOPS_DISPATCHED_PORT_6,36859.0,6011834536
skl,16,NOP65,UOPS_DISPATCHED_PORT_7,36696.0,1794213618
skl,16,NOP65,UOPS_ISSUED_ALL,36701.0,28761904292
skl,16,NOP65,UOPS_RETIRED_ANY,37126.0,20338927830
skl,16,NOP65,UOPS_RETIRED_RETIRE_SLOTS,36726.0,17062708954
skl,16,NOP80,BACLEARS_ANY,45308.0,3642
skl,16,NOP80,BRANCH_INSTRUCTIONS_RETIRED,45629.0,4108201615
skl,16,NOP80,DSB2MITE_SWITCHES_PENALTY_CYCLES,45617.0,1627863
skl,16,NOP80,IDQ_DSB_UOPS,45552.0,39195456643
skl,16,NOP80,IDQ_MITE_UOPS,45532.0,9073016
skl,16,NOP80,IDQ_MS_UOPS,45681.0,9837375
skl,16,NOP80,IDQ_UOPS_NOT_DELIVERED_CORE,45451.0,16696924574
skl,16,NOP80,INT_MISC_CLEAR_RESTEER_CYCLES,45323.0,1855953007
skl,16,NOP80,INT_MISC_RECOVERY_CYCLES,45357.0,3062617350
skl,16,NOP80,LSD_UOPS,45217.0,0
skl,16,NOP80,MISPREDICTED_BRANCH_RETIRED,45655.0,545766543
skl,16,NOP80,UOPS_DISPATCHED_PORT_0,45841.0,1870439948
skl,16,NOP80,UOPS_DISPATCHED_PORT_1,45407.0,1949876940
skl,16,NOP80,UOPS_DISPATCHED_PORT_2,45531.0,5791099749
skl,16,NOP80,UOPS_DISPATCHED_PORT_3,45553.0,5361477238
skl,16,NOP80,UOPS_DISPATCHED_PORT_4,45932.0,3579394376
skl,16,NOP80,UOPS_DISPATCHED_PORT_5,45495.0,2150265258
skl,16,NOP80,UOPS_DISPATCHED_PORT_6,45734.0,6775393839
skl,16,NOP80,UOPS_DISPATCHED_PORT_7,45661.0,2168200911
skl,16,NOP80,UOPS_ISSUED_ALL,45970.0,34285310216
skl,16,NOP80,UOPS_RETIRED_ANY,45593.0,20335250945
skl,16,NOP80,UOPS_RETIRED_RETIRE_SLOTS,45952.0,17062822657
skl,16,NOP81,BACLEARS_ANY,45488.0,3405
skl,16,NOP81,BRANCH_INSTRUCTIONS_RETIRED,45435.0,4108201603
skl,16,NOP81,DSB2MITE_SWITCHES_PENALTY_CYCLES,45987.0,2551774
skl,16,NOP81,IDQ_DSB_UOPS,45515.0,38569989378
skl,16,NOP81,IDQ_MITE_UOPS,45831.0,6804912
skl,16,NOP81,IDQ_MS_UOPS,45371.0,9820763
skl,16,NOP81,IDQ_UOPS_NOT_DELIVERED_CORE,45682.0,17036357003
skl,16,NOP81,INT_MISC_CLEAR_RESTEER_CYCLES,45605.0,1870830057
skl,16,NOP81,INT_MISC_RECOVERY_CYCLES,45513.0,3048387565
skl,16,NOP81,LSD_UOPS,45944.0,0
skl,16,NOP81,MISPREDICTED_BRANCH_RETIRED,45779.0,546094693
skl,16,NOP81,UOPS_DISPATCHED_PORT_0,45333.0,1809729492
skl,16,NOP81,UOPS_DISPATCHED_PORT_1,45755.0,1963465890
skl,16,NOP81,UOPS_DISPATCHED_PORT_2,46039.0,5815324266
skl,16,NOP81,UOPS_DISPATCHED_PORT_3,45522.0,5663789726
skl,16,NOP81,UOPS_DISPATCHED_PORT_4,45780.0,3594174634
skl,16,NOP81,UOPS_DISPATCHED_PORT_5,45783.0,2128861512
skl,16,NOP81,UOPS_DISPATCHED_PORT_6,45729.0,6827171383
skl,16,NOP81,UOPS_DISPATCHED_PORT_7,45681.0,2147144063
skl,16,NOP81,UOPS_ISSUED_ALL,45639.0,34210123727
skl,16,NOP81,UOPS_RETIRED_ANY,45821.0,20335256037
skl,16,NOP81,UOPS_RETIRED_RETIRE_SLOTS,45459.0,17062628720
skl,16,NOP96,BACLEARS_ANY,45595.0,4372328
skl,16,NOP96,BRANCH_INSTRUCTIONS_RETIRED,45965.0,4108201583
skl,16,NOP96,DSB2MITE_SWITCHES_PENALTY_CYCLES,46002.0,38683427
skl,16,NOP96,IDQ_DSB_UOPS,45883.0,39222950307
skl,16,NOP96,IDQ_MITE_UOPS,45764.0,228370666
skl,16,NOP96,IDQ_MS_UOPS,45500.0,10027990
skl,16,NOP96,IDQ_UOPS_NOT_DELIVERED_CORE,45673.0,16469754874
skl,16,NOP96,INT_MISC_CLEAR_RESTEER_CYCLES,45443.0,1970602948
skl,16,NOP96,INT_MISC_RECOVERY_CYCLES,45690.0,3040267332
skl,16,NOP96,LSD_UOPS,45890.0,0
